color,index
black,0
white,1
navy,2
brown,3
blue,4
grey,5
tan,6
red,7
silver,8
pink,9
black leather,10
charcoal,11
ivory,12
dark brown,13
green,14
orange,15
cognac,16
brown leather,17
yellow,18
burgundy,19
taupe,20
khaki,21
purple,22
dark grey,23
gold,24
olive,25
chocolate,26
stone,27
indigo,28
dark blue,29
anthracite,30
navy blue,31
chestnut,32
heather grey,33
light blue,34
royal,35
multi,36
natural,37
light grey,38
volt,39
coral,40
graphite,41
steel,42
medium grey,43
cream,44
turquoise,45
cool grey,46
midnight,47
aqua,48
british tan,49
dark wash,50
espresso,51
beige,52
sand,53
metallic silver,54
fuchsia,55
pewter,56
tnf black,57
dark brown leather,58
walnut,59
mahogany,60
dark java,61
medium wash,62
tan leather,63
hot pink,64
nero,65
tobacco,66
navy suede,67
dark navy,68
teal,69
black patent,70
chalk,71
lime,72
hickory,73
ink,74
denim,75
dark shadow,76
black suede,77
camel,78
risk red,79
medium brown,80
light brown,81
lilac,82
lavender,83
game royal,84
luminous pink,85
walnut leather,86
